#species	count
species:ncbi:11976	969
species:ncbi:29488	968
species:ncbi:511	967
species:ncbi:13597	966
species:ncbi:6535	966
species:ncbi:32101	964
species:ncbi:34632	962
species:ncbi:5039	961
species:ncbi:13686	961
species:ncbi:11619	960
species:ncbi:38525	958
species:ncbi:102285	956
species:ncbi:29449	955
species:ncbi:13427	954
species:ncbi:4959	954
species:ncbi:7539	953
species:ncbi:12037	953
species:ncbi:46681	953
species:ncbi:36596	953
species:ncbi:78534	952
species:ncbi:5547	952
species:ncbi:779	950
species:ncbi:45954	949
species:ncbi:7116	949
species:ncbi:48139	942
species:ncbi:785	941
species:ncbi:30521	941
species:ncbi:252598	939
species:ncbi:39329	939
species:ncbi:10386	939
species:ncbi:1303	937
species:ncbi:8018	937
species:ncbi:1810	936
species:ncbi:46221	933
species:ncbi:40050	933
species:ncbi:71001	929
species:ncbi:8354	929
species:ncbi:120793	925
species:ncbi:6850	924
species:ncbi:2111	924
species:ncbi:6306	923
species:ncbi:9555	922
species:ncbi:64279	917
species:ncbi:164405	916
species:ncbi:82600	914
species:ncbi:1076	914
species:ncbi:34621	914
species:ncbi:8496	911
species:ncbi:803	909
species:ncbi:236	907
species:ncbi:29292	904
species:ncbi:217509	904
species:ncbi:36809	904
species:ncbi:4567	904
species:ncbi:2102	904
species:ncbi:1661	902
species:ncbi:591	900
species:ncbi:53953	899
species:ncbi:10832	897
species:ncbi:10623	897
species:ncbi:5334	897
species:ncbi:8467	896
species:ncbi:9785	895
species:ncbi:28112	891
species:ncbi:876	891
species:ncbi:42862	890
species:ncbi:45464	889
species:ncbi:34631	889
species:ncbi:55571	888
species:ncbi:29092	888
species:ncbi:29172	888
species:ncbi:11855	884
species:ncbi:85698	884
species:ncbi:1397	884
species:ncbi:8060	883
species:ncbi:3850	882
species:ncbi:64895	880
species:ncbi:9718	880
species:ncbi:4232	879
species:ncbi:6759	878
species:ncbi:31285	878
species:ncbi:34615	878
species:ncbi:11613	877
species:ncbi:310516	873
species:ncbi:9337	871
species:ncbi:9490	869
species:ncbi:12162	867
species:ncbi:571644	866
species:ncbi:11988	866
species:ncbi:2711	865
species:ncbi:39352	863
species:ncbi:7109	860
species:ncbi:51351	860
species:ncbi:110799	858
species:ncbi:35669	857
species:ncbi:2238	857
species:ncbi:29078	856
species:ncbi:703	856
species:ncbi:9872	855
species:ncbi:12173	854
species:ncbi:44586	854
species:ncbi:38577	854
species:ncbi:64459	852
species:ncbi:1360	850
species:ncbi:1504	850
species:ncbi:7788	849
species:ncbi:8319	848
species:ncbi:32025	847
species:ncbi:4543	843
species:ncbi:7224	842
species:ncbi:7173	840
species:ncbi:1587	840
species:ncbi:7153	839
species:ncbi:103690	834
species:ncbi:55601	834
species:ncbi:37174	834
species:ncbi:285	833
species:ncbi:4929	831
species:ncbi:171585	830
species:ncbi:1833	827
species:ncbi:54072	825
species:ncbi:34880	823
species:ncbi:3884	822
species:ncbi:47230	820
species:ncbi:12303	819
species:ncbi:2100	818
species:ncbi:120290	817
species:ncbi:86661	817
species:ncbi:5849	816
species:ncbi:9704	816
species:ncbi:8364	813
species:ncbi:9538	811
species:ncbi:7959	810
species:ncbi:27706	810
species:ncbi:11313	807
species:ncbi:1719	807
species:ncbi:52283	804
species:ncbi:4072	803
species:ncbi:10874	802
species:ncbi:6207	802
species:ncbi:59895	802
species:ncbi:171929	801
species:ncbi:1172	799
species:ncbi:7656	797
species:ncbi:65125	794
species:ncbi:10058	794
species:ncbi:2208	791
species:ncbi:9644	786
species:ncbi:7241	782
species:ncbi:10092	782
species:ncbi:7375	781
species:ncbi:646	780
species:ncbi:1681	779
species:ncbi:35670	779
species:ncbi:27771	778
species:ncbi:9894	777
species:ncbi:1167	777
species:ncbi:121791	776
species:ncbi:536	776
species:ncbi:34506	775
species:ncbi:381	773
species:ncbi:65409	773
species:ncbi:126910	773
species:ncbi:359	772
species:ncbi:10493	770
species:ncbi:35570	770
species:ncbi:554	769
